clip_id,bin_index,start_ms,end_ms,file_path,light_asd_score,mouth_motion,face_track_count
1vuK6Wo-Sn0_s0000344290_e0000349290,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\1vuK6Wo-Sn0_s0000344290_e0000349290.mp4,0.20387083292007446,4.975806451612904,5
1vuK6Wo-Sn0_s0000344290_e0000349290,18,3600,3800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\1vuK6Wo-Sn0_s0000344290_e0000349290.mp4,-0.07212140411138535,5.9707130730050935,5
1vuK6Wo-Sn0_s0000344290_e0000349290,21,4200,4400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\1vuK6Wo-Sn0_s0000344290_e0000349290.mp4,-0.46341800689697266,7.446943972835314,5
1vuK6Wo-Sn0_s0000344290_e0000349290,22,4400,4600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\1vuK6Wo-Sn0_s0000344290_e0000349290.mp4,-0.23017288744449615,3.786502546689304,6
25LDskObwqo_s0000647554_e0000653022,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-1.1304258108139038,2.679753820033956,9
25LDskObwqo_s0000647554_e0000653022,1,200,400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-1.3940684795379639,1.6553480475382003,9
25LDskObwqo_s0000647554_e0000653022,2,400,600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-1.2502626180648804,12.799660441426147,9
25LDskObwqo_s0000647554_e0000653022,3,600,800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-1.0513674020767212,13.45797962648557,9
25LDskObwqo_s0000647554_e0000653022,4,800,1000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.652262806892395,7.355263157894737,9
25LDskObwqo_s0000647554_e0000653022,5,1000,1200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.7881130576133728,4.08446519524618,10
25LDskObwqo_s0000647554_e0000653022,6,1200,1400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.4164816737174988,7.373089983022071,11
25LDskObwqo_s0000647554_e0000653022,7,1400,1600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.5057201385498047,4.471137521222411,9
25LDskObwqo_s0000647554_e0000653022,8,1600,1800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.510299563407898,7.8446519524618,9
25LDskObwqo_s0000647554_e0000653022,9,1800,2000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.7630075216293335,3.218590831918506,10
25LDskObwqo_s0000647554_e0000653022,10,2000,2200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.9432836174964905,5.098259762308999,15
25LDskObwqo_s0000647554_e0000653022,11,2200,2400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-1.3175792694091797,14.402376910016978,8
25LDskObwqo_s0000647554_e0000653022,12,2400,2600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.4903612732887268,8.598896434634975,8
25LDskObwqo_s0000647554_e0000653022,13,2600,2800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.13788482546806335,8.311969439728353,8
25LDskObwqo_s0000647554_e0000653022,14,2800,3000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.0398709699511528,18.143039049235995,8
25LDskObwqo_s0000647554_e0000653022,15,3000,3200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.05139240622520447,9.950339558573853,8
25LDskObwqo_s0000647554_e0000653022,16,3200,3400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\25LDskObwqo_s0000647554_e0000653022.mp4,-0.110227569937706,9.88200339558574,8
