video,start,end,reason
7483123814390304008,3.778,4.67,segment_too_short
7483123814390304008,5.09,5.47,segment_too_short
7483123814390304008,6.018,7.102,segment_too_short
7483123814390304008,9.538,14.11,scene_cut_detected
7483123814390304008,14.85,15.294,segment_too_short
7483123814390304008,15.65,16.03,segment_too_short
7483123814390304008,16.45,17.15,segment_too_short
7483123814390304008,18.434,23.434,scene_cut_detected
7483123814390304008,22.434,27.434,scene_cut_detected
7483123814390304008,26.434,31.434,scene_cut_detected
7483123814390304008,30.434,35.434,scene_cut_detected
7483123814390304008,37.826,45.278,scene_cut_detected
7483123814390304008,45.506,50.654,scene_cut_detected
7483123814390304008,51.33,52.638,segment_too_short
7483123814390304008,60.194,64.734,scene_cut_detected
7483123814390304008,65.538,66.142,segment_too_short
7483123814390304008,66.402,74.206,scene_cut_detected
7483123814390304008,74.37,75.838,segment_too_short
7483123814390304008,76.322,77.694,segment_too_short
7483123814390304008,83.458,84.606,segment_too_short
7483123814390304008,84.77,90.046,scene_cut_detected
7483123814390304008,90.178,91.07,segment_too_short
7483123814390304008,91.49,91.87,segment_too_short
7483123814390304008,99.234,101.054,segment_too_short
7483123814390304008,101.186,103.55,scene_cut_detected
7483123814390304008,106.786,112.19,scene_cut_detected
7483123814390304008,115.81,116.286,segment_too_short
7483123814390304008,121.09,121.502,segment_too_short
7483123814390304008,121.922,123.87,segment_too_short
7483123814390304008,126.786,127.902,segment_too_short
7483123814390304008,133.538,143.198,scene_cut_detected
7483123814390304008,144.898,145.822,segment_too_short
7483123814390304008,149.506,150.238,segment_too_short
7483123814390304008,152.258,153.118,segment_too_short
7483123814390304008,154.722,155.582,segment_too_short
7483123814390304008,157.378,159.646,scene_cut_detected
7483123814390304008,161.25,162.206,segment_too_short
7483123814390304008,162.306,163.134,segment_too_short
7492744712718175495,,,no_speech_detected
7492660858217090311,,,video_decode_failed
7492282253217647879,,,video_decode_failed
7494198771186715912,,,video_decode_failed
7494609420983422215,,,video_decode_failed
7494979317982645522,,,no_speech_detected
7494241159049514247,,,video_decode_failed
7495329230612417800,,,no_speech_detected
7495249566447439112,,,no_speech_detected
7495988908736498962,,,video_decode_failed
7496073370988006664,,,no_speech_detected
7496109969448652040,,,video_decode_failed
7496137545051393298,,,no_speech_detected
7496476693654211848,,,no_speech_detected
7496489779123571975,,,no_speech_detected
7496107138960444690,,,video_decode_failed
7496845506598030599,,,video_decode_failed
7496490446269566226,,,video_decode_failed
7497475162036653319,,,video_decode_failed
7497220607055023368,,,video_decode_failed
7498215495456328978,,,no_speech_detected
7498341013707115794,,,video_decode_failed
7499434816908184839,,,video_decode_failed
7499821237800013064,,,video_decode_failed
7500446399998348552,,,video_decode_failed
7500924651883728146,,,video_decode_failed
7500181683853888775,,,video_decode_failed
7501298467583593736,,,video_decode_failed
7501556031542070546,,,video_decode_failed
7501643165061975304,,,video_decode_failed
7500927961890131207,,,video_decode_failed
7501679559599983879,,,video_decode_failed
7502046594620050696,,,video_decode_failed
7502033888848514322,,,video_decode_failed
7492756105437891847,1.634,6.654,scene_cut_detected
7492756105437891847,6.85,7.166,segment_too_short
7492756105437891847,12.546,17.278,scene_cut_detected
7492756105437891847,18.626,20.222,segment_too_short
7492756105437891847,20.674,22.654,segment_too_short
7492756105437891847,34.338,35.294,segment_too_short
7492756105437891847,35.65,36.638,segment_too_short
7492756105437891847,37.026,38.462,segment_too_short
7492756105437891847,38.626,40.19,segment_too_short
7492756105437891847,40.514,41.054,segment_too_short
7492756105437891847,42.338,45.662,face_density_low
7492756105437891847,48.834,49.566,segment_too_short
7492756105437891847,50.306,51.582,segment_too_short
7492756105437891847,51.714,52.958,segment_too_short
7492756105437891847,58.466,58.942,segment_too_short
7492756105437891847,64.418,65.214,segment_too_short
7492756105437891847,76.418,76.734,segment_too_short
7492756105437891847,80.994,81.598,segment_too_short
7492756105437891847,83.586,84.03,segment_too_short
7492756105437891847,121.09,122.782,segment_too_short
7492756105437891847,128.29,129.918,segment_too_short
7492756105437891847,136.322,137.79,segment_too_short
7502777580928404743,,,no_speech_detected
7502680530895326472,,,video_decode_failed
7502778113491864840,,,no_speech_detected
7502793857608781063,,,video_decode_failed
7503040733117713671,,,no_speech_detected
7503784562279861512,,,video_decode_failed
7503877787623705864,,,video_decode_failed
7503904094407494920,,,video_decode_failed
7504195526221450504,,,video_decode_failed
7503529628343078151,,,video_decode_failed
7503154414991985928,9.794,11.038,segment_too_short
7503154414991985928,13.186,14.91,segment_too_short
7504616745659813138,,,no_speech_detected
7505268373761117458,,,video_decode_failed
7504269996952997138,,,video_decode_failed
7505381242372689160,,,video_decode_failed
7491284887240985864,9.538,11.486,segment_too_short
7491284887240985864,12.354,12.99,segment_too_short
7491284887240985864,13.346,13.79,segment_too_short
7491284887240985864,19.714,20.254,segment_too_short
7491284887240985864,20.418,20.926,segment_too_short
7491284887240985864,29.986,31.198,segment_too_short
7491284887240985864,42.53,42.91,segment_too_short
7491284887240985864,67.682,69.438,segment_too_short
7491284887240985864,74.466,74.91,segment_too_short
7491284887240985864,76.066,77.054,segment_too_short
7491284887240985864,77.314,78.366,segment_too_short
7491284887240985864,78.466,79.294,segment_too_short
7491284887240985864,79.458,80.414,segment_too_short
7491284887240985864,80.642,81.79,segment_too_short
7491284887240985864,114.338,115.518,segment_too_short
7491284887240985864,118.562,122.654,scene_cut_detected
7491284887240985864,122.946,124.606,segment_too_short
7491284887240985864,128.034,129.438,segment_too_short
7491284887240985864,129.922,131.262,segment_too_short
7491284887240985864,139.426,141.406,segment_too_short
7491284887240985864,142.114,153.022,scene_cut_detected
7491284887240985864,153.154,155.134,segment_too_short
7491284887240985864,162.402,163.198,segment_too_short
7491284887240985864,163.49,163.87,segment_too_short
7491284887240985864,173.922,174.814,segment_too_short
7491284887240985864,182.178,183.102,segment_too_short
7491284887240985864,185.57,187.23,segment_too_short
7491284887240985864,187.522,188.766,segment_too_short
7491284887240985864,198.21,199.71,segment_too_short
7491284887240985864,200.162,201.374,segment_too_short
7491284887240985864,201.73,203.102,segment_too_short
7491284887240985864,206.754,211.614,scene_cut_detected
7491284887240985864,214.69,215.454,segment_too_short
7491284887240985864,229.282,230.782,segment_too_short
7491284887240985864,231.106,231.582,segment_too_short
7491284887240985864,232.066,233.246,segment_too_short
7491284887240985864,235.074,235.55,segment_too_short
7505310629855579399,,,video_decode_failed
7506492679497239826,,,video_decode_failed
7505641010077256968,,,video_decode_failed
7506808985392074002,,,video_decode_failed
7506111977295613192,,,no_speech_detected
7507286098855398664,,,video_decode_failed
7507977742822952199,,,video_decode_failed
7506857419742498055,,,video_decode_failed
7509011603900140808,,,video_decode_failed
7504901787435076871,15.554,16.03,segment_too_short
7504901787435076871,19.746,23.422,scene_cut_detected
7504901787435076871,27.522,28.126,segment_too_short
7504901787435076871,28.866,30.078,segment_too_short
7504901787435076871,30.498,31.23,segment_too_short
7504901787435076871,31.618,32.19,segment_too_short
7504901787435076871,32.93,33.47,segment_too_short
7504901787435076871,36.002,36.478,segment_too_short
7504901787435076871,51.746,52.99,segment_too_short
7504901787435076871,53.474,53.854,segment_too_short
7504901787435076871,56.962,62.782,scene_cut_detected
7504901787435076871,63.074,64.83,segment_too_short
7504901787435076871,72.77,73.854,segment_too_short
7504901787435076871,74.882,75.39,segment_too_short
7504901787435076871,75.618,76.926,segment_too_short
7504901787435076871,77.922,78.686,segment_too_short
7509107060945128722,,,video_decode_failed
7507867050849619207,0.002,0.606,segment_too_short
7507867050849619207,1.442,1.854,segment_too_short
7507867050849619207,2.274,3.358,segment_too_short
7507867050849619207,4.194,5.47,segment_too_short
7507867050849619207,6.146,7.102,segment_too_short
7507867050849619207,18.658,19.358,segment_too_short
7507867050849619207,19.49,21.31,segment_too_short
7507867050849619207,22.594,23.07,segment_too_short
7507867050849619207,23.234,23.646,segment_too_short
7507867050849619207,27.522,29.022,segment_too_short
7507867050849619207,29.73,30.398,segment_too_short
7507867050849619207,30.978,31.742,segment_too_short
7507867050849619207,32.738,34.462,segment_too_short
7507867050849619207,49.762,50.686,segment_too_short
7507867050849619207,51.458,52.126,segment_too_short
7509835000569711880,,,no_speech_detected
7510465218959445266,,,video_decode_failed
7510574351553432840,,,video_decode_failed
7509502311354420498,5.378,6.366,segment_too_short
7509502311354420498,34.242,34.654,segment_too_short
7511576148191513863,,,video_decode_failed
7509451315207097607,,,video_decode_failed
7512107344763882759,,,video_decode_failed
7512308634492112146,,,no_speech_detected
7512812902793940242,,,video_decode_failed
7512071380976897288,,,video_decode_failed
7513062369556204818,,,video_decode_failed
7513366284696931592,,,no_speech_detected
7513199391696555271,,,video_decode_failed
7513569163860823304,,,video_decode_failed
7514285900948409608,,,video_decode_failed
7514641151727570183,,,no_speech_detected
7514651734979955975,,,video_decode_failed
7513549745885957394,,,video_decode_failed
7515379470358957319,,,no_speech_detected
7511712771399077127,0.482,0.798,segment_too_short
7511712771399077127,5.73,7.518,segment_too_short
7511712771399077127,7.65,8.606,segment_too_short
7511712771399077127,9.346,10.494,segment_too_short
7511712771399077127,18.146,19.742,segment_too_short
7511712771399077127,25.09,26.878,segment_too_short
7511712771399077127,29.57,30.846,segment_too_short
7511712771399077127,31.778,32.286,segment_too_short
7511712771399077127,42.018,43.71,segment_too_short
7511712771399077127,44.354,45.342,segment_too_short
7511712771399077127,46.466,47.486,segment_too_short
7511712771399077127,47.746,49.086,segment_too_short
7511712771399077127,49.89,51.294,segment_too_short
7511712771399077127,54.818,55.422,segment_too_short
7511712771399077127,56.322,57.022,segment_too_short
7511712771399077127,62.082,63.294,segment_too_short
7511712771399077127,64.13,65.758,segment_too_short
7511712771399077127,65.89,67.07,segment_too_short
7511712771399077127,67.33,68.51,segment_too_short
7511712771399077127,68.962,69.886,segment_too_short
7511712771399077127,78.37,79.006,segment_too_short
7511712771399077127,79.554,80.35,segment_too_short
7511712771399077127,80.546,82.398,segment_too_short
7515398783644077319,,,video_decode_failed
7515046352796142866,,,video_decode_failed
7516123426046758162,,,video_decode_failed
7515661101573360903,,,video_decode_failed
7516884018554539282,,,video_decode_failed
7517628437251493128,,,video_decode_failed
7516143373036735762,,,video_decode_failed
7517987665808067848,,,video_decode_failed
7518371948594793735,,,video_decode_failed
7518596256868896018,,,video_decode_failed
7518739483353779463,,,video_decode_failed
7515427017236450568,0.002,6.014,scene_cut_detected
7515427017236450568,6.338,7.038,segment_too_short
7515427017236450568,7.33,17.694,scene_cut_detected
7515427017236450568,17.794,22.794,face_density_low
7515427017236450568,21.794,26.794,scene_cut_detected
7515427017236450568,25.794,30.794,scene_cut_detected
7515427017236450568,29.794,34.794,scene_cut_detected
7515427017236450568,33.794,38.794,scene_cut_detected
7515427017236450568,37.794,42.794,scene_cut_detected
7515427017236450568,41.794,46.794,scene_cut_detected
7515427017236450568,49.794,54.794,scene_cut_detected
7515427017236450568,53.794,58.794,face_density_low
7515427017236450568,57.794,62.794,face_density_low
7515427017236450568,61.794,66.794,scene_cut_detected
7515427017236450568,71.426,71.774,segment_too_short
7515427017236450568,75.234,75.55,segment_too_short
7515427017236450568,75.778,76.094,segment_too_short
7515427017236450568,76.258,76.702,segment_too_short
7515427017236450568,87.426,88.702,segment_too_short
7515427017236450568,89.058,89.374,segment_too_short
7515427017236450568,89.634,95.742,face_density_low
7515427017236450568,96.45,96.766,segment_too_short
7515427017236450568,97.282,97.822,segment_too_short
7515427017236450568,98.146,99.742,segment_too_short
7515427017236450568,100.066,100.958,segment_too_short
7515427017236450568,125.282,125.598,segment_too_short
7515427017236450568,136.61,138.11,segment_too_short
7515427017236450568,138.626,139.646,segment_too_short
7515427017236450568,139.778,140.894,segment_too_short
7515427017236450568,141.09,141.47,segment_too_short
7515427017236450568,141.922,143.006,segment_too_short
7515427017236450568,144.034,144.894,segment_too_short
7515427017236450568,147.202,148.062,segment_too_short
7519138969192254738,,,video_decode_failed
7518370610678910226,,,video_decode_failed
7520217251358985479,,,no_speech_detected
7520127002616024328,,,video_decode_failed
7520293319520439570,,,video_decode_failed
7520613984848989458,,,video_decode_failed
7521354431355522311,,,no_speech_detected
7510216055470443783,0.194,1.566,segment_too_short
7510216055470443783,1.73,3.294,segment_too_short
7510216055470443783,5.506,13.022,scene_cut_detected
7510216055470443783,13.25,13.854,segment_too_short
7510216055470443783,18.946,20.126,segment_too_short
7510216055470443783,20.514,22.238,segment_too_short
7510216055470443783,22.37,23.454,segment_too_short
7510216055470443783,26.402,27.582,segment_too_short
7510216055470443783,31.522,32.286,segment_too_short
7510216055470443783,32.45,33.086,segment_too_short
7510216055470443783,35.362,36.606,segment_too_short
7510216055470443783,37.09,38.046,segment_too_short
7510216055470443783,39.554,39.87,segment_too_short
7510216055470443783,54.69,55.262,segment_too_short
7510216055470443783,55.778,56.35,segment_too_short
7510216055470443783,65.442,66.238,segment_too_short
7510216055470443783,71.138,72.542,segment_too_short
7510216055470443783,72.962,73.342,segment_too_short
7510216055470443783,73.506,73.854,segment_too_short
7510216055470443783,74.434,75.198,segment_too_short
7510216055470443783,77.346,78.302,segment_too_short
7510216055470443783,78.498,79.038,segment_too_short
7510216055470443783,90.69,92.158,segment_too_short
7510216055470443783,93.378,95.07,segment_too_short
7510216055470443783,95.202,96.862,segment_too_short
7510216055470443783,97.154,97.47,segment_too_short
7510216055470443783,107.586,108.03,segment_too_short
7510216055470443783,110.402,110.846,segment_too_short
7510216055470443783,110.946,112.03,segment_too_short
7510216055470443783,119.938,121.15,segment_too_short
7510216055470443783,121.282,122.398,segment_too_short
7510216055470443783,126.05,127.422,segment_too_short
7510216055470443783,135.458,136.19,segment_too_short
7510216055470443783,150.466,151.902,segment_too_short
